lokasi,alamat,latitude,longitude,id,kode_provinsi,bps_kode_kabupaten_kota,jumlah_pengguna,tahun
MUSEUM SRIBADUGA,"JL. BKR NO.185, PELINDUNG HEWAN, ASTANAANYAR, BANDUNG, JAWA BARAT",-6.9,107.603,630.5,32.0,3273.0,285.5,2017.0
NIGHT TRAIN,JL CIHAMPELAS NO 92,-6.9,107.604,642.5,32.0,3273.0,455.7,2017.0
OFFICE SOETA,"JALAN SOEKARNO-HATTA, BANDUNG, WEST JAVA, 402652, INDONESIA",-6.9,107.607,654.5,32.0,3273.0,28.8,2017.0
PET PARK,"JL. CILIWUNG NO.14, CIHAPIT, BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT",-6.9,107.627,678.5,32.0,3273.0,245.2,2017.0
PONPES DAARUTTAUBAH,"JL. DAARUT TAUBAH, ANDIR, DUNGUS CARIANG, ANDIR, KOTA BANDUNG, JAWA BARAT",-6.9,107.585,690.5,32.0,3273.0,1015.2,2017.0
STASIUN BANDUNG,"JL. STASIUN BARAT NO.1, KB. JERUK, ANDIR, KOTA BANDUNGCICENDO, JAWA BARAT",-6.9,107.602,738.5,32.0,3273.0,0.0,2017.0
STASIUN KIARACONDONG,"KEBUN JAYANTI, KIARACONDONG, KOTA BANDUNG, JAWA BARAT",-6.9,107.646,750.5,32.0,3273.0,0.0,2017.0
TAMAN ALUN ALUN BANDUNG,"JL. DALEM KAUM, BALONG GEDE, REGOL, KOTA BANDUNG, JAWA BARAT",-6.9,107.607,798.5,32.0,3273.0,475.1,2017.0
TAMAN BIMA,"JALAN BIMA, PAJAJARAN, WEST JAVA, 40162, INDONESIA",-6.9,107.591,810.5,32.0,3273.0,1993.2,2017.0
TAMAN CIBEUNYING,"JALAN TAMAN CIBEUNYING SELATAN, CIHAPIT, BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT",-6.9,107.624,822.5,32.0,3273.0,1291.8,2017.0
TAMAN CIKAPUNDUNG RIVER SPOT,"BRAGA, SUMUR BANDUNG, KOTA BANDUNG, JAWA BARAT",-6.9,107.609,834.5,32.0,3273.0,943.2,2017.0
TAMAN DINAS PEMAKAMAN DAN PERTAMANAN,"JL. AMBON NO.1 A, CITARUM, BANDUNG, KOTA BANDUNG, JAWA BARAT",-6.9,107.616,846.5,32.0,3273.0,223.6,2017.0
TAMAN FILM,"JL. LAYANG PASUPATI, BANDUNG WETAN, JAWA BARAT",-6.9,107.608,858.5,32.0,3273.0,2042.1,2017.0
TAMAN FITNESS,"KLINIK TEUKU ANGKASA, JALAN TENGKU ANGKASA, LEBAK SILIWANGI, WEST JAVA, 40133, INDONESIA",-6.9,107.616,870.5,32.0,3273.0,1777.6,2017.0
TAMAN FLEXI,"JL. IR. H.JUANDA, TAMAN SARI, BANDUNG WETAN, BANDUNG, JAWA BARAT",-6.9,107.617,882.5,32.0,3273.0,977.1,2017.0
